"","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","x1_p","x2_p","x3_p","x4_p","x5_p","x6_p","x7_p","x8_p","x9_p","x10_p","x11_p","pred.asli","pred.disk","pred.asli1","pred.disk1"
"16559",16559,52,63819,68,0.669218691,0.854289569,1061,1,1497,34480,3,2,0,2,4,3,1,2,2,3,4,4,2,3,2,2,1,1
"15785",15785,229,51676,170,0.707044638,0.94456695,7044,0.336571825,0,0,7.7,2.7,0,2,2,3,1,3,3,1,1,1,4,4,1,1,0,0
"45030",45030,24,14004,12,0.784188034,0.995726496,6933,0.700545276,0,60,5.7,2.7,0,2,2,3,2,5,3,1,1,1,4,4,1,1,0,0
"41904",41904,39,31708,26,0.73341089,0.818333898,6995,0.585982012,0,610,11.3,5.3,0,2,2,3,1,2,3,1,1,1,5,5,1,1,0,0
"22619",22619,51,78902,73,0.781058607,0.653704675,1189,0.955555556,6,22765,3,2.3,0,2,4,3,2,2,2,2,2,3,2,3,1,1,0,0
"43172",43172,270,62213,114,0.75055124,0.945286085,1347,0.9,14,13520,22,6.7,0,2,4,3,1,3,2,1,2,2,5,5,1,1,0,0
"26272",26272,51,8529,5,0.741666667,0.894444444,4697,0.903846154,404,19885,7,5.7,0,2,1,2,1,3,3,1,3,3,4,5,1,1,0,0
"33785",33785,23,31937,11,0.713689411,1,92,1,0,30,8.7,4.3,0,2,2,3,1,5,1,3,1,1,5,5,1,1,0,0
"43021",43021,34,19934,25,0.781161699,0.43614919,2087,0.484774958,0,127,1.3,1.3,0,2,2,3,2,2,2,1,1,1,2,2,1,1,0,0
"28005",28005,142,37464,57,0.737616311,0.973727422,3694,0.779220779,0,1420,8.3,2.7,0,2,2,3,1,4,3,1,1,1,5,4,1,1,0,0
"32963",32963,174,34432,68,0.725974625,0.988002371,15267,0.943263513,1,4033,5.7,2.7,0,2,2,3,1,4,4,1,1,2,4,4,1,1,0,0
"391",391,52,49145,59,0.748013076,0.920811771,342,1,0,0,1.7,1.7,0,2,2,3,1,3,2,3,1,1,2,2,1,1,0,0
"7611",7611,26,16558,11,0.840740741,0.681481482,4856,0.387470342,685,11158,4.7,4.3,0,2,2,3,3,2,3,1,3,2,3,5,1,1,0,0
"39233",39233,26,11352,5,0.587912088,0.984126984,12381,0.927033643,0,0,4.7,3,0,2,2,2,1,4,4,1,1,1,3,4,1,1,0,0
"32295",32295,4,3129,3,0.657738095,1,389,1,2048,19346,2.7,2,0,1,1,2,1,5,2,3,5,3,2,3,1,1,0,0
